timestamp,run,requested_duration_sec,measured_duration_sec,energy_kwh,energy_wh,energy_joules,emissions_kg,cpu_energy_kwh,ram_energy_kwh,gpu_energy_kwh,avg_power_watts
2026-04-07T15:00:47.909762,1,200,201.50613773299847,0.0004071553395663,0.4071553395663,1465.7592224386801,1.6031151228475945e-06,0.0001264676643134,0.0002806876752528,0.0,7.274017749180692
2026-04-07T15:04:10.563307,2,200,201.50566668601823,0.0004072865027625,0.4072865027625,1466.231409945,1.603631558917541e-06,0.0001264941962712,0.0002807923064913,0.0,7.276378049604183
2026-04-07T15:07:32.105504,3,200,201.50558836499116,0.0004073793335077,0.4073793335077,1466.56560062772,1.6039970665186672e-06,0.000126527854419,0.0002808514790886,0.0,7.278039346339616
2026-04-07T15:10:53.645532,4,200,201.50666310900124,0.0004071076427365,0.4071076427365,1465.5875138514,1.6029273234950108e-06,0.0001264471254009,0.0002806605173355,0.0,7.273146660458657
2026-04-07T15:14:15.186814,5,200,201.506763323996,0.0004072671227508,0.40726712275079996,1466.1616419028799,1.6035552529308512e-06,0.0001265098567481,0.0002807572660026,0.0,7.275992218412478
2026-04-07T15:17:36.728054,6,200,201.50857172199176,0.0004071309945507,0.4071309945507,1465.67158038252,1.6030192678779675e-06,0.0001264718638064,0.0002806591307442,0.0,7.273494957845324
2026-04-07T15:20:58.271176,7,200,201.50665635202316,0.0004070959954026,0.4070959954026,1465.5455834493598,1.6028814638061148e-06,0.0001264352021933,0.0002806607932092,0.0,7.272938819892465
2026-04-07T15:24:19.812361,8,200,201.50669891398863,0.0004071152674081,0.4071152674081,1465.61496266916,1.602957344534101e-06,0.0001264403475639,0.0002806749198441,0.0,7.273281586011912
2026-04-07T15:27:41.353794,9,200,201.50669275599648,0.0004071188167121,0.4071188167121,1465.62774016356,1.6029713194040648e-06,0.0001264413552394,0.0002806774614727,0.0,7.27334521805825
2026-04-07T15:31:02.894893,10,200,201.50663203001025,0.0004071178585262,0.40711785852619997,1465.6242906943198,1.6029675466860452e-06,0.0001264406791122,0.000280677179414,0.0,7.2733302915610505
2026-04-07T15:34:24.436447,11,200,201.5067747059802,0.0004071400892213,0.4071400892213,1465.70432119668,1.603055076824911e-06,0.0001264552378659,0.0002806848513554,0.0,7.273722302067999
2026-04-07T15:37:45.978270,12,200,201.5074186679849,0.000407124612107,0.40712461210699996,1465.6486035852,1.6029941379311494e-06,0.0001264458022236,0.0002806788098833,0.0,7.273422553241507
2026-04-07T15:41:07.520519,13,200,201.50680693099275,0.0004071181952862,0.4071181952862,1465.62550303032,1.6029688726295135e-06,0.0001264408726859,0.0002806773226002,0.0,7.273329994912939
2026-04-07T15:44:29.061001,14,200,201.50660666098705,0.000407093450523,0.407093450523,1465.5364218828001,1.6028714437117135e-06,0.0001264332318813,0.0002806602186416,0.0,7.27289514804051
2026-04-07T15:47:50.602534,15,200,201.50666864498635,0.0004071097969211,0.4071097969211,1465.5952689159599,1.6029358052844723e-06,0.0001264390343787,0.0002806707625423,0.0,7.273184946042852
2026-04-07T15:51:12.141639,16,200,201.50668727900484,0.0004071028323801,0.40710283238010003,1465.57019656836,1.6029083834139428e-06,0.0001264382576135,0.0002806645747666,0.0,7.273059849071615
2026-04-07T15:54:33.684247,17,200,201.50671519400203,0.0004071121701714,0.4071121701714,1465.60381261704,1.6029451496133168e-06,0.0001264395378329,0.0002806726323384,0.0,7.273225664990963
2026-04-07T15:57:55.224848,18,200,201.50736003901693,0.0004071214718538,0.4071214718538,1465.6372986736799,1.6029817736395607e-06,0.0001264462269343,0.0002806752449194,0.0,7.273368567728223
2026-04-07T16:01:16.768804,19,200,201.5067590420076,0.0004071266823298,0.4071266823298,1465.65605638728,1.6030022891332765e-06,0.0001264438052132,0.0002806828771165,0.0,7.273483347929478
2026-04-07T16:04:38.308992,20,200,201.50676962398572,0.0004071184204403,0.4071184204403,1465.62631358508,1.602969759141168e-06,0.0001264426098397,0.0002806758106005,0.0,7.27333536396796
