rate,lib,mean_rank,is_best_by_rank
0.01,pythonjsonlogger,2.6,True
0.01,picologging,2.9,False
0.01,logbook,3.7,False
0.01,stdlib,3.7,False
0.01,loguru,4.0,False
0.01,structlog,4.1,False
0.1,pythonjsonlogger,2.0,True
0.1,picologging,2.2,False
0.1,logbook,3.3,False
0.1,loguru,3.6,False
0.1,stdlib,4.4,False
0.1,structlog,5.5,False
1.0,picologging,1.2,True
1.0,stdlib,1.9,False
1.0,structlog,3.9,False
1.0,pythonjsonlogger,3.9,False
1.0,loguru,4.9,False
1.0,logbook,5.2,False
10.0,stdlib,1.3,True
10.0,pythonjsonlogger,1.9,False
10.0,structlog,2.9,False
10.0,loguru,3.9,False
10.0,logbook,5.2,False
10.0,picologging,5.8,False
100.0,picologging,1.0,True
100.0,stdlib,2.4,False
100.0,loguru,2.6,False
100.0,pythonjsonlogger,4.4,False
100.0,structlog,4.9,False
100.0,logbook,5.7,False
1000.0,picologging,1.0,True
1000.0,loguru,2.0,False
1000.0,stdlib,3.0,False
1000.0,pythonjsonlogger,4.2,False
1000.0,structlog,4.9,False
1000.0,logbook,5.9,False
