lib,rate,avg_energy_j,std_energy_j,n
logbook,0.01,1466.141013320625,0.26757444093757615,8
logbook,0.1,1466.00801226369,0.17043744739033354,8
logbook,1.0,1472.11771959207,1.4930166229428972,8
logbook,10.0,1477.000990729755,2.9069936202834774,8
logbook,100.0,1546.16329423206,4.472004080080884,8
logbook,1000.0,2019.21070616847,10.248230731748457,8
loguru,0.01,1469.12457294468,8.071198243446155,8
loguru,0.1,1466.043130298205,0.1676508899492353,8
loguru,1.0,1470.59106528699,3.038253758870258,8
loguru,10.0,1474.76747092176,0.27889118396447454,8
loguru,100.0,1532.18063172141,0.37449913990699873,8
loguru,1000.0,1888.80280717761,12.301107213458263,8
picologging,0.01,1465.90137355032,0.1863499775153709,8
picologging,0.1,1465.92965013012,0.1983601165682172,8
picologging,1.0,1467.0614901910499,0.14180888531036356,8
picologging,10.0,1479.66989799393,2.301467839650469,8
picologging,100.0,1499.95111621167,0.33246231594245446,8
picologging,1000.0,1753.573743321255,4.843425247516351,8
pythonjsonlogger,0.01,1465.977971785185,0.30992483030948187,8
pythonjsonlogger,0.1,1465.871462233965,0.024275819398711457,8
pythonjsonlogger,1.0,1468.128980931075,0.25433962082583944,8
pythonjsonlogger,10.0,1473.228533255535,0.1328479457735715,8
pythonjsonlogger,100.0,1535.76090968778,3.1996914395705036,8
pythonjsonlogger,1000.0,1990.82338045191,6.292847946858221,8
stdlib,0.01,1465.98751943847,0.18392335275033386,8
stdlib,0.1,1466.1928881890099,0.20259741744087859,8
stdlib,1.0,1467.37637527923,0.21480662836089548,8
stdlib,10.0,1471.94343125874,3.8817951152210823,8
stdlib,100.0,1528.022651787045,6.717687540993995,8
stdlib,1000.0,1918.3340367707851,5.258734868656417,8
structlog,0.01,1466.2000097729551,0.25936038626628344,8
structlog,0.1,1466.32283911143,0.17012013087767586,8
structlog,1.0,1469.600337886875,2.5681325658583223,8
structlog,10.0,1474.033059543015,0.1313504077780965,8
structlog,100.0,1538.94794003442,6.482829212898495,8
structlog,1000.0,2004.239241228465,8.667509647340268,8
