lib,size,energy_j,net_energy_j
logbook,64,1469.286052169805,3.5560521698050707
logbook,512,1471.76003321289,6.030033212889975
logbook,1024,1473.06510058536,7.335100585359896
logbook,1536,1472.833268967645,7.103268967644908
logbook,2048,1473.67180431306,7.941804313059947
logbook,8192,1483.01682603696,17.286826036960065
loguru,64,1470.719797265925,4.989797265925063
loguru,512,1470.420787549725,4.690787549724973
loguru,1024,1471.423776528555,5.693776528554963
loguru,1536,1477.82377552275,12.093775522750093
loguru,2048,1473.119837468595,7.389837468595033
loguru,8192,1474.767412150725,9.037412150725004
picologging,64,1467.0570834738,1.3270834738000303
picologging,512,1468.418006538,2.6880065380000815
picologging,1024,1468.450001536065,2.720001536064956
picologging,1536,1474.35814567845,8.628145678449982
picologging,2048,1468.43865825012,2.7086582501199246
picologging,8192,1473.97148124399,8.241481243989938
pythonjsonlogger,64,1469.697887302965,3.967887302964982
pythonjsonlogger,512,1469.92030003233,4.190300032330015
pythonjsonlogger,1024,1469.67666111972,3.94666111971992
pythonjsonlogger,1536,1472.77962911079,7.049629110789965
pythonjsonlogger,2048,1473.579646158735,7.849646158734913
pythonjsonlogger,8192,1481.365860410925,15.635860410925034
stdlib,64,1467.57810768291,1.8481076829100402
stdlib,512,1468.61249346378,2.882493463780065
stdlib,1024,1468.669426681905,2.9394266819049335
stdlib,1536,1473.18066438282,7.450664382819923
stdlib,2048,1468.43789479947,2.7078947994700684
stdlib,8192,1474.58116265544,8.851162655440021
structlog,64,1469.722091671665,3.9920916716650936
structlog,512,1476.942692531265,11.21269253126502
structlog,1024,1471.834304875035,6.104304875035041
structlog,1536,1472.3309697580798,6.600969758079827
structlog,2048,1472.1906854701351,6.460685470135104
structlog,8192,1482.247272343275,16.517272343274954
