lib,size,avg_energy_j,reps_used,net_energy_j
logbook,64,1469.286052169805,8,3.5560521698050707
logbook,512,1471.76003321289,8,6.030033212889975
logbook,1024,1473.06510058536,8,7.335100585359896
logbook,1536,1472.833268967645,8,7.103268967644908
logbook,2048,1473.67180431306,8,7.941804313059947
logbook,8192,1483.01682603696,8,17.286826036960065
loguru,64,1470.719797265925,8,4.989797265925063
loguru,512,1470.420787549725,8,4.690787549724973
loguru,1024,1471.423776528555,8,5.693776528554963
loguru,1536,1477.82377552275,8,12.093775522750093
loguru,2048,1473.119837468595,8,7.389837468595033
loguru,8192,1474.767412150725,8,9.037412150725004
picologging,64,1467.0570834738,8,1.3270834738000303
picologging,512,1468.418006538,8,2.6880065380000815
picologging,1024,1468.450001536065,8,2.720001536064956
picologging,1536,1474.35814567845,8,8.628145678449982
picologging,2048,1468.43865825012,8,2.7086582501199246
picologging,8192,1473.97148124399,8,8.241481243989938
pythonjsonlogger,64,1469.697887302965,8,3.967887302964982
pythonjsonlogger,512,1469.92030003233,8,4.190300032330015
pythonjsonlogger,1024,1469.67666111972,8,3.94666111971992
pythonjsonlogger,1536,1472.77962911079,8,7.049629110789965
pythonjsonlogger,2048,1473.579646158735,8,7.849646158734913
pythonjsonlogger,8192,1481.365860410925,8,15.635860410925034
stdlib,64,1467.57810768291,8,1.8481076829100402
stdlib,512,1468.61249346378,8,2.882493463780065
stdlib,1024,1468.669426681905,8,2.9394266819049335
stdlib,1536,1473.18066438282,8,7.450664382819923
stdlib,2048,1468.43789479947,8,2.7078947994700684
stdlib,8192,1474.58116265544,8,8.851162655440021
structlog,64,1469.722091671665,8,3.9920916716650936
structlog,512,1476.942692531265,8,11.21269253126502
structlog,1024,1471.834304875035,8,6.104304875035041
structlog,1536,1472.3309697580798,8,6.600969758079827
structlog,2048,1472.1906854701351,8,6.460685470135104
structlog,8192,1482.247272343275,8,16.517272343274954
